Date,Symbol,Open,High,Low,Close,Volume
2015-02-23,NIFTY50,8636.27,8647.55,8573.51,8576.52,477039697
2015-02-24,NIFTY50,8561.08,8585.57,8458.47,8505.39,471234285
2015-02-25,NIFTY50,8491.1,8669.55,8460.79,8659.89,326460955
2015-02-26,NIFTY50,8662.31,8797.66,8660.24,8767.21,218057749
2015-02-27,NIFTY50,8768.01,8817.18,8665.53,8676.16,351770839
2015-03-02,NIFTY50,8682.12,8697.75,8553.15,8569.41,212195507
2015-03-03,NIFTY50,8571.57,8576.71,8365.95,8393.02,508370580
2015-03-04,NIFTY50,8405.81,8560.38,8387.17,8515.45,268923959
2015-03-05,NIFTY50,8508.73,8558.96,8378.4,8419.17,483040624
2015-03-06,NIFTY50,8412.42,8558.84,8365.02,8524.91,249991142
2015-03-09,NIFTY50,8533.18,8638.42,8518.75,8630.37,295625888
2015-03-10,NIFTY50,8635.01,8667.16,8609.7,8653.45,182013727
2015-03-11,NIFTY50,8645.72,8645.91,8458.87,8498.18,342785250
2015-03-12,NIFTY50,8505.18,8533.8,8352.43,8358.04,267955142
2015-03-13,NIFTY50,8360.8,8413.58,8354.41,8406.11,333637347
2015-03-16,NIFTY50,8421.98,8515.48,8403.9,8513.44,320224780
2015-03-17,NIFTY50,8515.48,8560.18,8423.63,8473.14,244005406
2015-03-18,NIFTY50,8461.7,8520.28,8452.71,8479.58,374173287
2015-03-19,NIFTY50,8473.89,8521.22,8424.18,8464.93,288128779
2015-03-20,NIFTY50,8451.66,8543.63,8408.12,8499.15,280311388
2015-03-23,NIFTY50,8494.04,8671.8,8449.64,8629.32,310983394
2015-03-24,NIFTY50,8623.39,8756.84,8573.36,8711.66,328467272
2015-03-25,NIFTY50,8717.92,8762.05,8578.98,8596.06,186689589
2015-03-26,NIFTY50,8585.01,8817.36,8571.33,8766.73,249534336
2015-03-27,NIFTY50,8776.77,8799.75,8671.28,8722.79,222716459
2015-03-30,NIFTY50,8714.23,8751.29,8625.16,8625.25,488177639
2015-03-31,NIFTY50,8633.43,8705.49,8611.09,8695.21,353819751
2015-04-01,NIFTY50,8682.15,8729.04,8631.18,8657.53,385256440
2015-04-02,NIFTY50,8659.41,8669.38,8586.93,8621.33,368333394
2015-04-03,NIFTY50,8625.31,8700.12,8596.96,8684.44,161214293
2015-04-06,NIFTY50,8694.37,8751.61,8677.56,8719.87,402979902
2015-04-07,NIFTY50,8718.94,8795.03,8677.3,8747.73,248803486
2015-04-08,NIFTY50,8753.46,8785.98,8730.77,8735.67,279900087
2015-04-09,NIFTY50,8725.15,8752.6,8712.34,8751.32,412345837
2015-04-10,NIFTY50,8749.76,8811.42,8719.54,8764.82,361640581
2015-04-13,NIFTY50,8770.29,8772.79,8730.78,8772.5,209039117
2015-04-14,NIFTY50,8783.17,8824.62,8758.69,8787.92,457152974
2015-04-15,NIFTY50,8786.39,8915.16,8751.2,8872.5,351179090
2015-04-16,NIFTY50,8876.5,8935.84,8849.61,8897.44,456620375
2015-04-17,NIFTY50,8910.3,8983.68,8870.11,8959.48,319722299
2015-04-20,NIFTY50,8964.03,8978.79,8897.76,8901.89,322900753
2015-04-21,NIFTY50,8915.89,8920.2,8823.93,8831.92,383594574
2015-04-22,NIFTY50,8816.53,8838.09,8787.8,8816.5,379733442
2015-04-23,NIFTY50,8812.61,8959.87,8762.58,8918.68,179084978
2015-04-24,NIFTY50,8914.41,8927.62,8895.6,8927.3,362846991
2015-04-27,NIFTY50,8924.41,9017.3,8895.17,8977.03,283353262
2015-04-28,NIFTY50,8976.52,8997.46,8930.42,8966.41,371410776
2015-04-29,NIFTY50,8981.46,9060.3,8952.67,9007.29,378024020
2015-04-30,NIFTY50,8992.3,9015.43,8919.16,8965.79,258971535
2015-05-01,NIFTY50,8955.45,8973.02,8778.52,8818.8,411505945
2015-05-04,NIFTY50,8816.03,8995.36,8791.15,8950.52,505259970
2015-05-05,NIFTY50,8940.65,9155.66,8889.3,9151.9,210224044
2015-05-06,NIFTY50,9140.89,9219.2,9132.53,9218.07,233509938
2015-05-07,NIFTY50,9234.58,9328.76,9220.38,9302.8,380042789
2015-05-08,NIFTY50,9312.03,9318.43,9131.39,9176.5,360023532
2015-05-11,NIFTY50,9169.6,9400.18,9116.89,9362.13,436372785
2015-05-12,NIFTY50,9365.58,9422.93,9351.94,9376.2,316597302
2015-05-13,NIFTY50,9361.99,9417.25,9295.6,9339.46,349586802
2015-05-14,NIFTY50,9323.35,9359.58,9290.41,9291.11,394955212
2015-05-15,NIFTY50,9308.24,9374.41,9261.95,9338.8,244051571
2015-05-18,NIFTY50,9356.19,9371.35,9286.13,9331.38,442419064
2015-05-19,NIFTY50,9343.53,9376.75,9255.83,9273.76,299198618
2015-05-20,NIFTY50,9287.92,9337.47,9262.02,9323.83,372551725
2015-05-21,NIFTY50,9317.3,9344.56,9177.78,9197.36,327861891
2015-05-22,NIFTY50,9204.76,9310.6,9204.2,9295.19,279438270
2015-05-25,NIFTY50,9294.76,9337.05,9224.39,9262.78,427927227
2015-05-26,NIFTY50,9255.15,9400.53,9241.64,9377.78,391336346
2015-05-27,NIFTY50,9374.98,9416.94,9256.66,9275.07,436709080
2015-05-28,NIFTY50,9261.0,9288.71,9254.36,9277.99,439066711
2015-05-29,NIFTY50,9266.54,9312.98,9251.17,9271.89,434498765
2015-06-01,NIFTY50,9284.23,9381.54,9264.13,9364.89,343601126
2015-06-02,NIFTY50,9356.44,9411.14,9085.16,9115.43,275813046
2015-06-03,NIFTY50,9100.94,9121.64,9085.41,9120.97,409482495
2015-06-04,NIFTY50,9104.6,9221.32,9078.51,9169.55,194938452
2015-06-05,NIFTY50,9174.3,9281.94,9166.09,9278.95,350479207
2015-06-08,NIFTY50,9281.11,9308.54,9247.91,9285.35,273034962
2015-06-09,NIFTY50,9300.52,9317.12,9210.96,9243.6,397324469
2015-06-10,NIFTY50,9247.65,9288.72,9097.74,9149.76,288107644
2015-06-11,NIFTY50,9134.43,9159.3,9104.18,9146.14,234963814
2015-06-12,NIFTY50,9149.57,9165.56,8853.22,8865.53,394370487
2015-06-15,NIFTY50,8872.18,8921.36,8760.14,8801.74,274637953
2015-06-16,NIFTY50,8806.94,8854.94,8657.45,8700.6,209980614
2015-06-17,NIFTY50,8703.91,8799.77,8655.8,8756.46,410536273
2015-06-18,NIFTY50,8763.46,8813.02,8670.45,8696.56,443498969
2015-06-19,NIFTY50,8710.11,8748.5,8582.6,8613.8,179482659
2015-06-22,NIFTY50,8625.38,8821.95,8576.17,8791.61,355523262
2015-06-23,NIFTY50,8780.18,8830.19,8756.89,8802.78,303137670
2015-06-24,NIFTY50,8807.52,8833.51,8669.17,8673.92,386113313
2015-06-25,NIFTY50,8660.2,8668.56,8608.89,8630.2,436969486
2015-06-26,NIFTY50,8641.03,8784.72,8617.45,8755.82,365265182
2015-06-29,NIFTY50,8765.36,8908.76,8721.98,8862.76,169014687
2015-06-30,NIFTY50,8859.69,8869.66,8773.33,8792.41,450776005
2015-07-01,NIFTY50,8781.99,8830.45,8733.11,8801.45,389169416
2015-07-02,NIFTY50,8784.86,8818.07,8721.46,8763.48,245166284
2015-07-03,NIFTY50,8760.26,8906.23,8716.03,8894.24,242384370
2015-07-06,NIFTY50,8906.06,9002.83,8867.77,8975.99,462092623
2015-07-07,NIFTY50,8975.36,9000.79,8894.15,8918.6,242209781
2015-07-08,NIFTY50,8918.89,9073.67,8872.65,9026.05,334249602
2015-07-09,NIFTY50,9020.27,9110.53,9005.81,9067.67,158358423
2015-07-10,NIFTY50,9070.83,9125.19,9004.1,9030.63,239163052
2015-07-13,NIFTY50,9024.58,9065.89,8906.08,8926.28,360046560
2015-07-14,NIFTY50,8916.96,8995.42,8871.16,8974.8,390672805
2015-07-15,NIFTY50,8982.17,9025.9,8950.96,8971.74,232450460
2015-07-16,NIFTY50,8971.82,9106.22,8925.01,9074.09,430465236
2015-07-17,NIFTY50,9056.5,9242.72,9009.17,9234.74,274099941
2015-07-20,NIFTY50,9226.06,9312.9,9204.05,9278.2,202208966
2015-07-21,NIFTY50,9291.54,9333.55,9273.89,9312.32,427112136
2015-07-22,NIFTY50,9296.24,9397.02,9244.88,9361.57,286522212
2015-07-23,NIFTY50,9346.53,9382.07,9254.87,9303.58,412243326
2015-07-24,NIFTY50,9286.05,9304.12,9253.46,9256.57,359751215
2015-07-27,NIFTY50,9257.73,9367.59,9213.7,9335.89,261933202
2015-07-28,NIFTY50,9331.51,9369.76,9184.67,9212.18,256894137
2015-07-29,NIFTY50,9210.69,9247.54,9070.3,9119.49,440007729
2015-07-30,NIFTY50,9107.01,9131.15,9087.35,9106.23,315122074
2015-07-31,NIFTY50,9097.13,9143.27,9026.73,9037.53,383427448
2015-08-03,NIFTY50,9033.25,9099.05,9017.21,9079.5,322825809
2015-08-04,NIFTY50,9075.71,9198.93,9028.61,9198.48,199437964
2015-08-05,NIFTY50,9210.73,9260.63,9158.65,9201.48,274433746
2015-08-06,NIFTY50,9206.5,9240.8,9116.03,9153.26,235141619
2015-08-07,NIFTY50,9158.61,9243.34,9134.39,9226.24,373463388
2015-08-10,NIFTY50,9218.68,9330.43,9208.97,9288.77,235927947
2015-08-11,NIFTY50,9283.79,9364.7,9268.61,9336.59,250608755
2015-08-12,NIFTY50,9335.91,9452.44,9294.09,9406.92,356843270
2015-08-13,NIFTY50,9390.94,9433.43,9340.67,9353.33,384060041
2015-08-14,NIFTY50,9348.31,9409.68,9347.53,9365.25,443652033
2015-08-17,NIFTY50,9374.57,9389.32,9224.96,9246.1,393888242
2015-08-18,NIFTY50,9228.53,9318.23,9197.45,9269.05,275519458
2015-08-19,NIFTY50,9267.73,9306.71,9183.19,9219.1,224099040
2015-08-20,NIFTY50,9211.89,9414.93,9206.52,9387.18,518556853
2015-08-21,NIFTY50,9393.59,9435.47,9168.33,9220.67,441540110
2015-08-24,NIFTY50,9234.88,9271.17,9165.5,9211.58,372744281
2015-08-25,NIFTY50,9218.59,9230.61,9185.38,9209.96,277248806
2015-08-26,NIFTY50,9216.8,9284.0,9162.72,9253.77,358858397
2015-08-27,NIFTY50,9271.1,9323.89,9178.61,9224.23,205576832
2015-08-28,NIFTY50,9227.81,9229.0,9135.05,9178.38,294721824
2015-08-31,NIFTY50,9167.55,9231.25,9137.07,9185.52,268006991
2015-09-01,NIFTY50,9195.6,9239.15,9162.72,9195.64,302153209
2015-09-02,NIFTY50,9182.03,9243.32,9172.41,9229.44,169862816
2015-09-03,NIFTY50,9240.08,9272.73,9121.72,9122.58,326328224
2015-09-04,NIFTY50,9123.54,9164.35,9089.69,9115.74,346950965
2015-09-07,NIFTY50,9115.88,9249.46,9113.51,9197.29,468415061
2015-09-08,NIFTY50,9180.04,9235.04,9071.06,9117.41,411759624
2015-09-09,NIFTY50,9132.35,9136.37,9042.08,9046.47,247503757
2015-09-10,NIFTY50,9051.28,9081.06,9001.55,9019.14,447973936
2015-09-11,NIFTY50,9016.62,9059.53,8883.28,8889.38,510162585
2015-09-14,NIFTY50,8887.66,8920.49,8869.58,8908.28,401834380
2015-09-15,NIFTY50,8901.6,8918.29,8884.02,8897.63,234720898
2015-09-16,NIFTY50,8883.08,8887.63,8806.44,8829.32,376938730
2015-09-17,NIFTY50,8832.37,8862.13,8765.11,8782.48,227059954
2015-09-18,NIFTY50,8797.98,8886.93,8749.63,8864.44,194194787
2015-09-21,NIFTY50,8859.18,8889.9,8839.89,8851.19,414982304
2015-09-22,NIFTY50,8863.42,8988.02,8822.86,8968.24,307309877
2015-09-23,NIFTY50,8985.26,9047.87,8952.18,9003.66,466627387
2015-09-24,NIFTY50,9015.53,9230.75,9005.77,9215.96,390369071
2015-09-25,NIFTY50,9204.22,9212.13,9162.84,9199.12,190781963
2015-09-28,NIFTY50,9181.85,9222.96,9075.84,9087.57,420919126
2015-09-29,NIFTY50,9080.72,9169.11,9029.43,9151.3,209330261
2015-09-30,NIFTY50,9160.62,9182.37,9156.13,9179.63,399901252
2015-10-01,NIFTY50,9177.5,9192.54,9063.62,9104.86,228299134
2015-10-02,NIFTY50,9111.35,9238.48,9082.55,9205.72,350538319
2015-10-05,NIFTY50,9209.38,9209.8,9021.46,9037.8,311451440
2015-10-06,NIFTY50,9030.19,9053.94,9003.24,9047.42,385263463
2015-10-07,NIFTY50,9054.79,9081.97,8889.83,8934.5,382594864
2015-10-08,NIFTY50,8918.15,9065.28,8868.85,9064.26,364268579
2015-10-09,NIFTY50,9071.86,9094.59,8981.1,8987.31,174882092
2015-10-12,NIFTY50,9003.4,9028.26,8964.66,9001.91,349860489
2015-10-13,NIFTY50,8992.67,9143.59,8964.4,9111.4,406563756
2015-10-14,NIFTY50,9101.25,9156.91,9097.08,9114.3,211889566
2015-10-15,NIFTY50,9124.37,9171.33,9071.91,9152.05,238787897
2015-10-16,NIFTY50,9140.97,9279.05,9099.28,9245.63,209928517
2015-10-19,NIFTY50,9245.41,9315.15,9203.26,9273.17,402650998
2015-10-20,NIFTY50,9278.47,9389.55,9260.48,9334.3,340801320
2015-10-21,NIFTY50,9332.14,9512.56,9316.76,9495.31,211233085
2015-10-22,NIFTY50,9493.85,9618.2,9472.85,9616.03,342790900
2015-10-23,NIFTY50,9629.7,9792.53,9600.4,9756.53,456625106
2015-10-26,NIFTY50,9765.85,9856.06,9712.58,9853.64,276049986
2015-10-27,NIFTY50,9839.88,9843.53,9712.67,9718.71,380170932
2015-10-28,NIFTY50,9724.39,9740.39,9683.1,9738.1,393613404
2015-10-29,NIFTY50,9732.8,9786.4,9638.91,9661.37,357792548
2015-10-30,NIFTY50,9666.43,9761.72,9647.3,9742.16,487147854
2015-11-02,NIFTY50,9750.88,9789.29,9676.28,9729.18,233804109
2015-11-03,NIFTY50,9715.23,9735.62,9558.84,9614.66,402857073
2015-11-04,NIFTY50,9598.69,9630.88,9534.75,9571.7,340931311
2015-11-05,NIFTY50,9584.3,9626.78,9508.61,9547.88,443374510
2015-11-06,NIFTY50,9548.2,9549.24,9440.0,9457.53,290069485
2015-11-09,NIFTY50,9445.87,9531.97,9437.09,9475.12,314548297
2015-11-10,NIFTY50,9485.39,9569.23,9435.1,9521.52,178601970
2015-11-11,NIFTY50,9526.01,9618.75,9517.19,9584.41,263412197
2015-11-12,NIFTY50,9596.26,9605.79,9570.84,9596.04,375073828
2015-11-13,NIFTY50,9614.06,9649.28,9532.52,9575.75,399283497
2015-11-16,NIFTY50,9593.58,9638.73,9538.58,9590.6,258103888
2015-11-17,NIFTY50,9609.19,9743.64,9592.94,9716.73,401705099
2015-11-18,NIFTY50,9703.59,9715.22,9591.78,9626.7,310553152
2015-11-19,NIFTY50,9621.74,9675.68,9370.26,9410.43,522900969
2015-11-20,NIFTY50,9420.33,9435.75,9352.49,9403.57,230776448
2015-11-23,NIFTY50,9419.01,9499.7,9369.02,9453.38,173021316
2015-11-24,NIFTY50,9448.61,9470.5,9358.26,9362.84,296458870
2015-11-25,NIFTY50,9375.54,9619.97,9331.03,9582.6,276418388
2015-11-26,NIFTY50,9581.54,9837.63,9537.91,9788.82,488330956
2015-11-27,NIFTY50,9772.34,9926.12,9723.38,9910.9,500093371
2015-11-30,NIFTY50,9907.86,9954.0,9875.64,9889.75,220015752
2015-12-01,NIFTY50,9901.37,9928.53,9684.8,9691.25,502309271
2015-12-02,NIFTY50,9691.84,9802.87,9683.5,9788.66,418688113
2015-12-03,NIFTY50,9791.43,9802.44,9553.38,9591.84,517714907
2015-12-04,NIFTY50,9592.84,9644.23,9535.96,9614.97,458297126
2015-12-07,NIFTY50,9597.41,9820.42,9575.91,9797.67,188880652
2015-12-08,NIFTY50,9787.53,9962.93,9781.44,9923.8,370811449
2015-12-09,NIFTY50,9917.4,9955.64,9765.95,9814.85,443299395
2015-12-10,NIFTY50,9802.37,9810.3,9758.97,9801.08,401265597
2015-12-11,NIFTY50,9812.49,9929.59,9793.91,9877.1,341017541
2015-12-14,NIFTY50,9878.8,10004.51,9834.15,9989.33,281299617
2015-12-15,NIFTY50,9971.26,10130.77,9954.91,10091.07,382978394
2015-12-16,NIFTY50,10088.63,10146.53,9975.46,9995.8,273927065
2015-12-17,NIFTY50,10012.76,10043.96,9840.36,9887.89,418697381
2015-12-18,NIFTY50,9900.64,9933.04,9704.28,9723.02,225165189
2015-12-21,NIFTY50,9720.92,9762.77,9678.69,9688.38,402155974
2015-12-22,NIFTY50,9702.72,9841.92,9644.61,9821.14,338153991
2015-12-23,NIFTY50,9803.75,9887.95,9779.86,9848.29,437224195
2015-12-24,NIFTY50,9866.13,9874.58,9790.17,9825.99,393968236
2015-12-25,NIFTY50,9836.93,10073.15,9814.34,10051.06,205727974
2015-12-28,NIFTY50,10069.1,10091.58,9968.47,10014.32,232109352
2015-12-29,NIFTY50,10020.31,10035.32,9926.05,9932.81,270221765
2015-12-30,NIFTY50,9935.26,9950.87,9837.53,9852.92,420928594
2015-12-31,NIFTY50,9860.56,9919.65,9720.37,9732.06,250206699
2016-01-01,NIFTY50,9747.58,9773.61,9681.52,9686.62,336591906
2016-01-04,NIFTY50,9688.56,9705.43,9652.78,9670.18,238539914
2016-01-05,NIFTY50,9675.51,9788.92,9645.97,9742.52,231251119
2016-01-06,NIFTY50,9732.26,9779.99,9711.19,9751.09,351119039
2016-01-07,NIFTY50,9736.65,9921.44,9732.81,9869.08,407775524
2016-01-08,NIFTY50,9870.09,9918.57,9821.34,9873.0,190348154
2016-01-11,NIFTY50,9856.18,9883.73,9768.88,9799.3,235240230
2016-01-12,NIFTY50,9804.78,9823.4,9747.93,9812.69,387482190
2016-01-13,NIFTY50,9825.69,9921.77,9807.76,9891.03,255872910
2016-01-14,NIFTY50,9884.93,9940.74,9806.81,9859.75,198418449
2016-01-15,NIFTY50,9861.76,9869.17,9743.45,9761.18,480039268
2016-01-18,NIFTY50,9764.77,9798.78,9627.94,9637.84,373116696
2016-01-19,NIFTY50,9650.37,9652.02,9590.18,9592.8,305734903
2016-01-20,NIFTY50,9589.6,9642.92,9560.94,9606.09,449043077
2016-01-21,NIFTY50,9605.44,9795.85,9565.96,9748.78,355681882
2016-01-22,NIFTY50,9735.44,9759.72,9682.29,9709.35,346092515
2016-01-25,NIFTY50,9717.83,9760.64,9628.4,9678.38,375670163
2016-01-26,NIFTY50,9680.77,9699.31,9528.58,9555.32,330928516
2016-01-27,NIFTY50,9538.15,9686.94,9488.69,9632.3,404651736
2016-01-28,NIFTY50,9619.19,9757.0,9585.85,9737.87,352728377
2016-01-29,NIFTY50,9757.19,9860.74,9705.73,9833.2,457849769
2016-02-01,NIFTY50,9833.42,10137.39,9820.72,10078.93,424287581
2016-02-02,NIFTY50,10082.86,10133.85,9996.88,10037.38,315917796
2016-02-03,NIFTY50,10034.61,10156.38,9990.8,10102.89,390414372
2016-02-04,NIFTY50,10105.73,10117.53,9963.86,9997.04,209328106
2016-02-05,NIFTY50,9999.03,10048.55,9839.95,9876.88,239482364
2016-02-08,NIFTY50,9871.87,10096.78,9838.83,10037.35,402543305
2016-02-09,NIFTY50,10037.71,10094.56,10034.99,10064.36,229587482
2016-02-10,NIFTY50,10065.14,10104.04,10011.2,10095.02,231898923
2016-02-11,NIFTY50,10081.39,10141.31,9946.68,9991.0,342659043
2016-02-12,NIFTY50,9991.39,10020.75,9865.24,9898.68,442375431
2016-02-15,NIFTY50,9905.56,9963.8,9827.96,9862.5,170310662
2016-02-16,NIFTY50,9868.64,9926.2,9823.45,9857.67,273495550
2016-02-17,NIFTY50,9844.68,9881.83,9760.18,9796.61,376048110
2016-02-18,NIFTY50,9778.25,9833.88,9717.86,9724.28,171992202
2016-02-19,NIFTY50,9720.89,9732.78,9596.53,9625.51,444143164
2016-02-22,NIFTY50,9608.65,9633.58,9596.7,9625.6,324540924
2016-02-23,NIFTY50,9620.86,9679.62,9594.32,9624.38,436774361
2016-02-24,NIFTY50,9634.85,9676.53,9510.28,9547.13,315359529
2016-02-25,NIFTY50,9537.45,9615.51,9524.58,9583.42,321556805
2016-02-26,NIFTY50,9590.72,9618.85,9541.84,9569.39,301158941
2016-02-29,NIFTY50,9571.04,9622.48,9422.87,9445.23,378794359
2016-03-01,NIFTY50,9437.31,9475.01,9396.88,9458.68,340737440
2016-03-02,NIFTY50,9468.04,9480.2,9396.13,9443.04,300451432
2016-03-03,NIFTY50,9429.34,9471.06,9396.14,9436.21,282196302
2016-03-04,NIFTY50,9425.85,9635.06,9420.18,9621.62,391640615
2016-03-07,NIFTY50,9632.04,9686.37,9600.23,9686.07,250522425
2016-03-08,NIFTY50,9700.73,9831.77,9689.12,9803.69,341153982
2016-03-09,NIFTY50,9819.68,9824.96,9689.2,9722.69,473436949
2016-03-10,NIFTY50,9704.7,9823.46,9680.36,9769.44,256126775
2016-03-11,NIFTY50,9782.58,9853.63,9771.65,9807.27,317230395
2016-03-14,NIFTY50,9809.93,9865.73,9752.07,9859.39,318863554
2016-03-15,NIFTY50,9860.35,9912.96,9781.7,9789.58,450483536
2016-03-16,NIFTY50,9774.41,9843.87,9747.5,9834.28,301275043
2016-03-17,NIFTY50,9827.88,9931.91,9788.11,9914.36,274361460
2016-03-18,NIFTY50,9930.11,10077.27,9899.41,10027.52,219001177
2016-03-21,NIFTY50,10046.84,10167.43,9990.42,10138.39,170657871
2016-03-22,NIFTY50,10148.68,10215.44,10130.3,10157.3,159051529
2016-03-23,NIFTY50,10146.59,10187.24,10033.38,10061.48,257986971
2016-03-24,NIFTY50,10077.38,10119.92,9919.04,9937.58,239270656
2016-03-25,NIFTY50,9932.32,10038.58,9875.26,10025.3,442623066
2016-03-28,NIFTY50,10029.54,10054.56,9994.14,10027.18,403531525
2016-03-29,NIFTY50,10040.24,10100.45,9999.26,10054.49,199235092
2016-03-30,NIFTY50,10048.93,10104.23,9945.65,9952.35,489120508
2016-03-31,NIFTY50,9953.81,9979.33,9902.78,9969.49,393877129
2016-04-01,NIFTY50,9972.8,10033.79,9942.26,10028.32,190483217
2016-04-04,NIFTY50,10026.58,10030.06,9885.92,9913.42,351587488
2016-04-05,NIFTY50,9925.97,9970.39,9823.51,9857.71,184111336
2016-04-06,NIFTY50,9859.33,9862.9,9771.79,9824.5,417031653
2016-04-07,NIFTY50,9835.07,9880.27,9566.37,9622.85,452788629
2016-04-08,NIFTY50,9620.87,9780.12,9599.08,9726.59,213899169
2016-04-11,NIFTY50,9728.12,9766.27,9668.27,9688.48,255448699
2016-04-12,NIFTY50,9674.04,9741.08,9625.59,9684.21,162921066
2016-04-13,NIFTY50,9692.7,9717.36,9647.9,9669.9,277338853
2016-04-14,NIFTY50,9661.22,9715.56,9545.34,9587.04,228627431
2016-04-15,NIFTY50,9591.45,9645.33,9413.21,9463.69,315130952
2016-04-18,NIFTY50,9446.03,9631.11,9406.17,9596.69,200886550
2016-04-19,NIFTY50,9594.35,9779.68,9550.92,9748.11,208751003
2016-04-20,NIFTY50,9737.74,9990.56,9704.08,9935.93,384228509
2016-04-21,NIFTY50,9955.24,10086.01,9930.53,10054.57,333270678
2016-04-22,NIFTY50,10069.84,10329.51,10032.02,10273.32,461883513
2016-04-25,NIFTY50,10266.92,10419.22,10243.44,10379.15,476029695
2016-04-26,NIFTY50,10364.59,10388.0,10208.44,10254.85,452627247
2016-04-27,NIFTY50,10269.52,10293.74,10240.99,10284.83,186225238
2016-04-28,NIFTY50,10287.18,10400.51,10272.19,10392.15,286208370
2016-04-29,NIFTY50,10390.06,10549.45,10356.67,10526.01,284759410
2016-05-02,NIFTY50,10530.43,10532.93,10351.7,10356.22,309500065
2016-05-03,NIFTY50,10349.3,10502.22,10348.35,10442.26,272956236
2016-05-04,NIFTY50,10463.13,10497.46,10447.9,10467.38,266047560
2016-05-05,NIFTY50,10459.91,10498.95,10430.65,10481.15,347386286
2016-05-06,NIFTY50,10497.2,10526.55,10338.74,10388.78,437488648
2016-05-09,NIFTY50,10376.45,10395.93,10359.51,10362.35,275634564
2016-05-10,NIFTY50,10364.56,10479.39,10319.78,10442.8,332428502
2016-05-11,NIFTY50,10437.78,10489.97,10323.91,10354.93,359096570
2016-05-12,NIFTY50,10374.26,10470.23,10343.72,10430.07,257757343
2016-05-13,NIFTY50,10415.05,10449.2,10376.51,10387.98,458857664
2016-05-16,NIFTY50,10388.97,10458.31,10384.34,10405.92,179086755
2016-05-17,NIFTY50,10420.18,10434.65,10304.92,10348.83,163406018
2016-05-18,NIFTY50,10330.64,10370.17,10131.49,10188.58,472816414
2016-05-19,NIFTY50,10189.89,10306.46,10188.87,10281.09,324511123
2016-05-20,NIFTY50,10281.18,10324.23,10234.27,10260.78,251106654
2016-05-23,NIFTY50,10246.37,10446.9,10214.0,10434.88,398027741
2016-05-24,NIFTY50,10429.58,10454.99,10276.22,10311.17,303413963
2016-05-25,NIFTY50,10293.88,10449.22,10253.74,10387.42,179359717
2016-05-26,NIFTY50,10389.61,10393.11,10235.59,10236.17,277249882
2016-05-27,NIFTY50,10242.1,10383.79,10182.04,10363.19,226163587
